0,1,2,3,4,5,6,7,8,9
17781.380859375,9235.0966796875,108141.0625,148236.546875,29906.521484375,13575.0146484375,30785.81640625,55285.0546875,51814.9921875,35188.8203125
17749.037109375,9243.138671875,108098.3984375,147989.0,29865.015625,13564.2001953125,30788.708984375,55363.29296875,51984.953125,35305.66796875
17747.955078125,9215.099609375,107965.3984375,148037.28125,29884.361328125,13583.974609375,30828.859375,55469.4140625,51994.20703125,35226.54296875
17811.7265625,9252.197265625,108058.078125,148044.28125,29911.58984375,13580.7197265625,30814.474609375,55426.30859375,51931.02734375,35117.73828125
17742.953125,9238.0087890625,108153.3984375,148208.359375,29898.013671875,13577.6435546875,30812.41015625,55355.30078125,51838.890625,35122.5625
17665.47265625,9247.5751953125,108170.4375,148013.890625,29916.345703125,13574.43359375,30815.541015625,55400.125,51946.125,35204.828125
17717.310546875,9229.6669921875,108074.0703125,148142.75,29887.310546875,13584.6552734375,30825.306640625,55421.359375,51932.9609375,35138.03125
17733.6171875,9234.6162109375,108165.34375,148184.8125,29890.203125,13576.56640625,30793.9765625,55366.5546875,51887.0390625,35119.55078125
17691.630859375,9254.8359375,108118.765625,148008.453125,29875.732421875,13568.4150390625,30811.150390625,55417.18359375,51996.8984375,35206.9609375
17848.189453125,9276.4091796875,107972.765625,147806.734375,29887.90625,13600.7939453125,30862.072265625,55482.6484375,52021.9140625,35191.23046875
17788.849609375,9251.3349609375,108092.34375,147932.640625,29862.09765625,13551.2841796875,30770.689453125,55417.51953125,52020.484375,35262.91015625
17695.91796875,9238.16796875,108172.578125,147909.1875,29860.1796875,13565.9208984375,30823.38671875,55502.8046875,51999.62109375,35186.21484375
17706.935546875,9247.9482421875,108190.2421875,147996.921875,29826.3359375,13566.8681640625,30800.123046875,55398.1328125,51976.49609375,35240.3359375
17683.740234375,9285.8125,108236.59375,147926.609375,29827.501953125,13539.27734375,30732.236328125,55352.5390625,52045.26953125,35321.49609375
17717.248046875,9255.19921875,108051.8046875,147907.625,29922.123046875,13603.7158203125,30854.1953125,55417.04296875,51961.13671875,35261.37890625
